City_ID,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
287,bahar,15.09,48.4414,34.9072,0,1.03,55
288,poxoreo,21.22,-54.3892,-15.8372,30,1.41,68
289,sanya,31.09,109.505,18.2431,40,2.0,84
290,okha,16.98,142.9478,53.5739,5,1.18,59
291,amursk,21.59,136.8994,50.2261,0,2.18,48
292,coron,30.13,120.2043,11.9986,100,2.59,67
293,gizo,28.5,156.8419,-8.103,16,3.0,74
294,port hedland,21.03,118.5667,-20.3167,0,8.75,40
295,nazarovo,21.34,90.3914,56.0064,100,1.56,71
296,los andes,11.12,-70.5983,-32.8337,17,3.07,34
297,wote,15.53,37.6288,-1.7808,35,0.88,93
298,christchurch,13.23,172.6333,-43.5333,100,3.09,64
299,ciudad satelite,17.16,-99.25,19.5167,100,2.14,77
300,lubang,29.37,120.124,13.8584,92,5.9,74
301,tiksi,7.5,128.8694,71.6872,100,1.42,62
302,heroica caborca,36.05,-112.15,30.7167,73,3.81,38
303,rio grande,2.75,-52.0986,-32.035,1,4.49,73
304,yerofey pavlovich,30.09,121.9667,53.9667,63,1.95,31
305,saint-philippe,18.77,55.7679,-21.3585,32,1.05,74
306,qamdo,8.69,97.2333,31.1667,0,1.5,58
307,okhotsk,16.1,143.3,59.3833,1,2.93,65
308,nagqu,9.75,92.0,31.5,89,3.24,47
309,torquay,13.05,-3.5143,50.4638,94,3.47,82
310,urumqi,27.53,87.6005,43.801,0,2.0,37
311,skovorodino,28.55,123.9167,53.9833,9,2.79,35
312,thurso,11.14,-3.5259,58.5927,12,3.27,90
313,thames,15.43,175.5333,-37.1333,100,6.26,84
314,tofol,30.88,163.0078,5.3248,75,1.54,74
315,santa cruz,15.7,-63.1667,-17.8,75,1.03,44
316,bonthe,24.75,-12.505,7.5264,100,3.67,90
317,gubkinskiy,10.72,76.5026,64.434,59,10.53,73
318,villa gesell,7.25,-56.973,-37.2639,31,9.45,55
319,manohar thana,27.18,76.8018,24.24,100,4.73,82
320,sao paulo de olivenca,24.43,-68.8725,-3.3783,63,0.56,90
321,guatrache,10.69,-63.5302,-37.6678,100,4.05,38
322,azna,21.07,48.9307,33.6095,0,1.0,25
323,marquette,14.05,-87.6335,46.5333,0,2.25,74
324,rikaze,15.74,88.8833,29.25,73,0.66,55
325,remire-montjoly,28.02,-52.2667,4.9167,20,3.09,83
326,mutoko,9.41,32.2268,-17.397,9,1.7,74
327,tara,19.04,74.371,56.8944,82,3.14,86
328,robertsport,25.34,-11.3686,6.7533,96,3.58,85
329,khark,32.68,50.3306,29.2614,3,3.86,69
330,tinajo,20.49,-13.7081,29.0788,100,6.69,78
331,mirny,28.4,113.9611,62.5353,8,5.23,46
332,morehead city,28.3,-76.726,34.7229,40,7.72,87
333,gumla,23.48,84.55,23.05,100,4.92,92
334,srivardhan,27.52,73.0167,18.0333,98,7.05,86
335,palmer,21.19,-72.3287,42.1584,75,2.57,88
336,vila velha,21.97,-40.2925,-20.3297,75,6.17,78
337,muisne,24.9,-80.0333,0.6,95,3.2,87
338,hefei,28.01,117.2808,31.8639,75,1.0,83
339,yoko,17.8,12.3167,5.5333,39,1.34,98
340,saint-flour,10.49,3.0,45.0833,100,1.06,95
341,dunedin,8.78,170.5036,-45.8742,100,2.68,96
342,crucecita,6.91,-58.9833,-28.95,0,3.02,65
343,palikir - national government center,30.41,158.1611,6.9248,100,4.63,79
344,verkhniy tagil,16.27,59.9556,57.3733,77,1.83,79
345,souillac,21.21,57.5167,-20.5167,75,2.06,94
346,prieska,14.28,22.7474,-29.6641,75,3.95,40
347,tutoia,26.15,-42.2744,-2.7619,23,4.69,85
348,enewetak,28.46,162.3373,11.3474,68,8.33,79
