,city,Temperature,Longitude,Latitude,Cloudiness,Wind Speed,Humidity
352,vilhena,21.15,-60.1458,-12.7406,0,0.9,59
353,santa marta de ortigueira,17.28,-7.85,43.6833,99,4.96,100
354,kati,27.67,-8.0726,12.7441,4,1.97,62
355,saint helens,13.11,-2.7333,53.45,23,1.03,91
356,santa maria da vitoria,20.21,-44.1886,-13.3947,5,0.9,57
357,ocara,22.02,-38.5967,-4.4908,97,0.84,96
358,kingscliff,20.94,153.5667,-28.2667,20,5.14,60
359,hemsby,14.57,1.6918,52.6971,88,3.26,89
360,alice springs,16.75,133.8833,-23.7,0,4.12,29
361,bairnsdale,13.3,147.6167,-37.8333,100,0.34,45
362,saint-georges,28.82,-61.7485,12.0564,40,5.66,84
363,taltal,14.66,-70.4833,-25.4,0,1.71,76
364,howard springs,28.21,131.047,-12.497,12,3.3,49
365,sisimiut,3.44,-53.6735,66.9395,98,2.59,88
366,petrovskaya,21.02,37.955,45.4314,12,1.96,61
367,las tunas,22.74,-76.9511,20.9617,100,2.11,97
368,port saint john's,16.87,29.5448,-31.6229,0,2.9,60
369,paka,29.99,103.4368,4.6374,95,3.29,68
370,usogorsk,7.32,48.6872,63.4106,95,2.52,71
371,zaozersk,12.12,32.4476,69.4005,10,2.02,72
372,portland,19.0,-122.6762,45.5234,75,5.66,60
373,vorgashor,15.72,63.95,67.5833,99,2.38,56
374,sao francisco,21.09,-44.8644,-15.9486,52,0.99,58
375,papao,26.82,-149.55,-17.75,38,5.62,71
376,adel,28.13,-83.4235,31.1371,23,0.45,79
377,wuhai,21.89,106.8122,39.6647,6,0.2,29
378,kruisfontein,12.36,24.7314,-34.0033,0,2.29,75
379,stanley,9.96,-1.6985,54.868,0,2.57,92
380,nyurba,23.03,118.3319,63.2842,100,1.87,43
381,korsakov,6.91,142.7813,46.6328,100,9.04,95
382,okoneshnikovo,22.41,75.0834,54.8377,100,3.04,78
383,machico,20.36,-16.7667,32.7,40,9.26,81
384,'ali al gharbi,35.95,46.6864,32.4633,42,7.84,14
385,suntar,23.37,117.6319,62.1444,25,2.32,36
386,trairi,25.0,-39.2689,-3.2778,89,3.88,87
387,bodo,11.01,14.405,67.28,75,11.83,88
388,aral,35.31,81.2636,40.5156,96,4.35,10
389,olyokminsk,26.48,120.4264,60.3736,82,3.56,32
390,naracoorte,13.7,140.7383,-36.9579,16,8.39,47
391,hanak,12.77,42.8472,41.2336,0,0.67,86
392,freeport,23.24,-73.5832,40.6576,20,10.73,83
393,bhag,37.91,67.8239,29.0415,0,3.03,25
394,port hedland,26.03,118.5667,-20.3167,3,8.75,29
